"ƒ´∏ﬁ∂Û π¯»£","¡÷º“","ªÛºº º≥∏Ì","√¯¡§ Ω√¿€ Ω√∞£","√¯¡§ ¡æ∑· Ω√∞£","ƒ´∏ﬁ∂Û ≈Î∞˙ ¿Œø¯ (IN)","ƒ´∏ﬁ∂Û ≈Î∞˙ ¿Œø¯ (OUT)","µ•¿Ã≈Õ¿‘∑¬Ω√∞£"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 10:08:35","2015-11-06 10:18:35","77","115","2015-11-06 10:18:35"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 10:08:35","2015-11-06 10:18:35","60","79","2015-11-06 10:18:35"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 10:08:35","2015-11-06 10:18:35","31","32","2015-11-06 10:18:35"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 10:18:35","2015-11-06 10:28:35","76","73","2015-11-06 10:28:35"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 10:18:35","2015-11-06 10:28:35","88","57","2015-11-06 10:28:35"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 10:18:35","2015-11-06 10:28:35","19","74","2015-11-06 10:28:35"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 10:18:35","2015-11-06 10:28:35","65","33","2015-11-06 10:28:35"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 10:28:35","2015-11-06 10:38:36","60","85","2015-11-06 10:38:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 10:28:35","2015-11-06 10:38:36","96","27","2015-11-06 10:38:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 10:28:35","2015-11-06 10:38:36","188","110","2015-11-06 10:38:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 10:28:35","2015-11-06 10:38:36","29","48","2015-11-06 10:38:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 10:38:36","2015-11-06 10:48:35","121","95","2015-11-06 10:48:35"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 10:38:36","2015-11-06 10:48:35","41","39","2015-11-06 10:48:35"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 10:38:36","2015-11-06 10:48:36","123","121","2015-11-06 10:48:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 10:38:36","2015-11-06 10:48:36","36","91","2015-11-06 10:48:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 10:48:36","2015-11-06 10:58:36","125","172","2015-11-06 10:58:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 10:48:36","2015-11-06 10:58:36","67","19","2015-11-06 10:58:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 10:48:36","2015-11-06 10:58:36","53","50","2015-11-06 10:58:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 10:48:36","2015-11-06 10:58:36","50","59","2015-11-06 10:58:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 10:58:36","2015-11-06 11:08:36","145","103","2015-11-06 11:08:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 10:58:36","2015-11-06 11:08:36","21","52","2015-11-06 11:08:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 10:58:36","2015-11-06 11:08:36","92","40","2015-11-06 11:08:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 10:58:36","2015-11-06 11:08:36","36","62","2015-11-06 11:08:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 11:08:36","2015-11-06 11:18:36","60","63","2015-11-06 11:18:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 11:08:36","2015-11-06 11:18:36","122","48","2015-11-06 11:18:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 11:08:36","2015-11-06 11:18:36","44","34","2015-11-06 11:18:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 11:08:36","2015-11-06 11:18:36","115","84","2015-11-06 11:18:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 11:18:36","2015-11-06 11:28:36","43","83","2015-11-06 11:28:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 11:18:36","2015-11-06 11:28:36","62","37","2015-11-06 11:28:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 11:18:36","2015-11-06 11:28:36","206","63","2015-11-06 11:28:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 11:18:36","2015-11-06 11:28:36","122","33","2015-11-06 11:28:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 11:28:36","2015-11-06 11:38:36","70","83","2015-11-06 11:38:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 11:28:36","2015-11-06 11:38:36","216","87","2015-11-06 11:38:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 11:28:36","2015-11-06 11:38:36","61","77","2015-11-06 11:38:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 11:28:36","2015-11-06 11:38:36","109","32","2015-11-06 11:38:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 11:38:36","2015-11-06 11:48:36","142","68","2015-11-06 11:48:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 11:38:36","2015-11-06 11:48:36","91","107","2015-11-06 11:48:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 11:38:36","2015-11-06 11:48:36","43","61","2015-11-06 11:48:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 11:38:36","2015-11-06 11:48:36","72","124","2015-11-06 11:48:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 11:48:36","2015-11-06 11:58:36","61","116","2015-11-06 11:58:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 11:48:36","2015-11-06 11:58:36","119","68","2015-11-06 11:58:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 11:48:36","2015-11-06 11:58:36","84","110","2015-11-06 11:58:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 11:48:36","2015-11-06 11:58:36","149","91","2015-11-06 11:58:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 11:58:36","2015-11-06 12:08:36","168","106","2015-11-06 12:08:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 11:58:36","2015-11-06 12:08:36","148","65","2015-11-06 12:08:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 11:58:36","2015-11-06 12:08:36","111","149","2015-11-06 12:08:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 11:58:36","2015-11-06 12:08:36","108","85","2015-11-06 12:08:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 12:08:36","2015-11-06 12:18:36","160","93","2015-11-06 12:18:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 12:08:36","2015-11-06 12:18:36","72","86","2015-11-06 12:18:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 12:08:36","2015-11-06 12:18:36","75","98","2015-11-06 12:18:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 12:08:36","2015-11-06 12:18:36","128","200","2015-11-06 12:18:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 12:18:36","2015-11-06 12:28:36","103","161","2015-11-06 12:28:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 12:18:36","2015-11-06 12:28:36","151","47","2015-11-06 12:28:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 12:18:36","2015-11-06 12:28:36","95","69","2015-11-06 12:28:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 12:18:36","2015-11-06 12:28:36","113","127","2015-11-06 12:28:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 12:28:36","2015-11-06 12:38:36","161","137","2015-11-06 12:38:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 12:28:36","2015-11-06 12:38:36","103","65","2015-11-06 12:38:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 12:28:36","2015-11-06 12:38:36","104","156","2015-11-06 12:38:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 12:28:36","2015-11-06 12:38:36","141","122","2015-11-06 12:38:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 12:38:36","2015-11-06 12:48:36","99","107","2015-11-06 12:48:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 12:38:36","2015-11-06 12:48:36","116","125","2015-11-06 12:48:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 12:38:36","2015-11-06 12:48:36","109","120","2015-11-06 12:48:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 12:38:36","2015-11-06 12:48:36","138","190","2015-11-06 12:48:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 12:48:36","2015-11-06 12:58:36","81","128","2015-11-06 12:58:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 12:48:36","2015-11-06 12:58:36","167","102","2015-11-06 12:58:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 12:48:36","2015-11-06 12:58:36","96","82","2015-11-06 12:58:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 12:48:36","2015-11-06 12:58:36","76","140","2015-11-06 12:58:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 12:58:36","2015-11-06 13:08:36","79","75","2015-11-06 13:08:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 12:58:36","2015-11-06 13:08:36","116","121","2015-11-06 13:08:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 12:58:36","2015-11-06 13:08:36","87","98","2015-11-06 13:08:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 12:58:36","2015-11-06 13:08:36","121","114","2015-11-06 13:08:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 13:08:36","2015-11-06 13:18:36","108","145","2015-11-06 13:18:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 13:08:36","2015-11-06 13:18:36","127","67","2015-11-06 13:18:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 13:08:36","2015-11-06 13:18:36","75","102","2015-11-06 13:18:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 13:08:36","2015-11-06 13:18:36","128","102","2015-11-06 13:18:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 13:18:36","2015-11-06 13:28:36","108","201","2015-11-06 13:28:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 13:18:36","2015-11-06 13:28:36","97","96","2015-11-06 13:28:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 13:18:36","2015-11-06 13:28:36","92","71","2015-11-06 13:28:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 13:18:36","2015-11-06 13:28:36","74","138","2015-11-06 13:28:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 13:28:36","2015-11-06 13:38:36","58","66","2015-11-06 13:38:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 13:28:36","2015-11-06 13:38:36","135","90","2015-11-06 13:38:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 13:28:36","2015-11-06 13:38:36","111","174","2015-11-06 13:38:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 13:28:36","2015-11-06 13:38:36","81","77","2015-11-06 13:38:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 13:38:36","2015-11-06 13:48:36","94","77","2015-11-06 13:48:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 13:38:36","2015-11-06 13:48:36","93","106","2015-11-06 13:48:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 13:38:36","2015-11-06 13:48:36","134","111","2015-11-06 13:48:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 13:38:36","2015-11-06 13:48:36","58","82","2015-11-06 13:48:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 13:48:36","2015-11-06 13:58:36","38","78","2015-11-06 13:58:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 13:48:36","2015-11-06 13:58:36","138","128","2015-11-06 13:58:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 13:48:36","2015-11-06 13:58:36","108","134","2015-11-06 13:58:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 13:48:36","2015-11-06 13:58:36","120","73","2015-11-06 13:58:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 13:58:36","2015-11-06 14:08:36","150","122","2015-11-06 14:08:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 13:58:36","2015-11-06 14:08:36","110","172","2015-11-06 14:08:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 13:58:36","2015-11-06 14:08:36","116","80","2015-11-06 14:08:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 13:58:36","2015-11-06 14:08:36","98","59","2015-11-06 14:08:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 14:08:36","2015-11-06 14:18:36","134","99","2015-11-06 14:18:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 14:08:36","2015-11-06 14:18:36","50","51","2015-11-06 14:18:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 14:08:36","2015-11-06 14:18:36","120","105","2015-11-06 14:18:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 14:08:36","2015-11-06 14:18:36","82","82","2015-11-06 14:18:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 14:18:36","2015-11-06 14:28:36","129","81","2015-11-06 14:28:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 14:18:36","2015-11-06 14:28:36","52","54","2015-11-06 14:28:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 14:18:36","2015-11-06 14:28:36","132","106","2015-11-06 14:28:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 14:18:36","2015-11-06 14:28:36","96","138","2015-11-06 14:28:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 14:28:36","2015-11-06 14:38:36","57","62","2015-11-06 14:38:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 14:28:36","2015-11-06 14:38:36","147","133","2015-11-06 14:38:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 14:28:36","2015-11-06 14:38:36","90","96","2015-11-06 14:38:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 14:28:36","2015-11-06 14:38:36","109","118","2015-11-06 14:38:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 14:38:36","2015-11-06 14:48:36","202","100","2015-11-06 14:48:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 14:38:36","2015-11-06 14:48:36","102","93","2015-11-06 14:48:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 14:38:36","2015-11-06 14:48:36","191","119","2015-11-06 14:48:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 14:38:36","2015-11-06 14:48:36","46","33","2015-11-06 14:48:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 14:48:36","2015-11-06 14:58:36","78","46","2015-11-06 14:58:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 14:48:36","2015-11-06 14:58:36","137","71","2015-11-06 14:58:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 14:48:36","2015-11-06 14:58:36","107","140","2015-11-06 14:58:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 14:48:36","2015-11-06 14:58:36","118","113","2015-11-06 14:58:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 14:58:36","2015-11-06 15:08:36","160","131","2015-11-06 15:08:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 14:58:36","2015-11-06 15:08:36","86","72","2015-11-06 15:08:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 14:58:36","2015-11-06 15:08:36","118","91","2015-11-06 15:08:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 14:58:36","2015-11-06 15:08:36","101","94","2015-11-06 15:08:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 15:08:36","2015-11-06 15:18:36","193","134","2015-11-06 15:18:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 15:08:36","2015-11-06 15:18:36","103","122","2015-11-06 15:18:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 15:08:36","2015-11-06 15:18:36","136","122","2015-11-06 15:18:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 15:08:36","2015-11-06 15:18:36","82","79","2015-11-06 15:18:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 15:18:36","2015-11-06 15:28:36","134","139","2015-11-06 15:28:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 15:18:36","2015-11-06 15:28:36","183","119","2015-11-06 15:28:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 15:18:36","2015-11-06 15:28:36","142","128","2015-11-06 15:28:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 15:18:36","2015-11-06 15:28:36","59","88","2015-11-06 15:28:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 15:28:36","2015-11-06 15:38:36","45","70","2015-11-06 15:38:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 15:28:36","2015-11-06 15:38:36","171","172","2015-11-06 15:38:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 15:28:36","2015-11-06 15:38:36","90","136","2015-11-06 15:38:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 15:28:36","2015-11-06 15:38:36","120","173","2015-11-06 15:38:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 15:38:36","2015-11-06 15:48:36","45","55","2015-11-06 15:48:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 15:38:36","2015-11-06 15:48:36","91","127","2015-11-06 15:48:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 15:38:36","2015-11-06 15:48:36","103","188","2015-11-06 15:48:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 15:38:36","2015-11-06 15:48:36","222","139","2015-11-06 15:48:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 15:48:36","2015-11-06 15:58:36","31","83","2015-11-06 15:58:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 15:48:36","2015-11-06 15:58:36","92","139","2015-11-06 15:58:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 15:48:36","2015-11-06 15:58:36","152","190","2015-11-06 15:58:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 15:48:36","2015-11-06 15:58:36","164","122","2015-11-06 15:58:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 15:58:36","2015-11-06 16:08:36","117","135","2015-11-06 16:08:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 15:58:36","2015-11-06 16:08:36","60","173","2015-11-06 16:08:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 15:58:36","2015-11-06 16:08:36","111","113","2015-11-06 16:08:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 15:58:36","2015-11-06 16:08:36","77","114","2015-11-06 16:08:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 16:08:36","2015-11-06 16:18:36","113","157","2015-11-06 16:18:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 16:08:36","2015-11-06 16:18:36","55","253","2015-11-06 16:18:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 16:08:36","2015-11-06 16:18:36","128","202","2015-11-06 16:18:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 16:08:36","2015-11-06 16:18:36","134","154","2015-11-06 16:18:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 16:18:36","2015-11-06 16:28:36","125","168","2015-11-06 16:28:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 16:18:36","2015-11-06 16:28:36","41","143","2015-11-06 16:28:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 16:18:36","2015-11-06 16:28:36","114","113","2015-11-06 16:28:36"
"1","¿≤∞Ó∑Œ3±Ê 50","¥ˆº∫ø©∞Ì æ’","2015-11-06 16:18:36","2015-11-06 16:28:36","126","164","2015-11-06 16:28:36"
"2","∞Ëµø±Ê 69","∞Ëµø±≥»∏ æ’","2015-11-06 16:28:36","2015-11-06 16:38:36","64","133","2015-11-06 16:38:36"
"3","∫œ√Ã∑Œ11±Ê 1","µ∑πÃæ‡±π æ’","2015-11-06 16:28:36","2015-11-06 16:38:36","130","173","2015-11-06 16:38:36"
"4","∫œ√Ã∑Œ5∞°±Ê 38","ªÔ√ª∆ƒ√‚º“ ªÁ¿’±Ê","2015-11-06 16:28:36","2015-11-06 16:38:36","87","94","2015-11-06 16:38:36"
